Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
createUpdateDeleteContact,Firefox 113.0,,,2023-06-08 14:55:01,2023-06-08 14:56:13,1m - 12.105s,PASSED
,,,,,,,
Test Cases/Day-02/Cogmento/CreateContact,Firefox 113.0,,,2023-06-08 14:55:04,2023-06-08 14:55:38,34.594s,PASSED
Start listener action : maximize,Firefox 113.0,,,2023-06-08 14:55:04,2023-06-08 14:55:04,0.302s,PASSED
navigateToUrl(URL),Firefox 113.0,,,2023-06-08 14:55:04,2023-06-08 14:55:09,4.945s,PASSED
"username_object = ""Object Repository/Day-02/Cogmento/createContact/input_Login_email""",Firefox 113.0,,,2023-06-08 14:55:09,2023-06-08 14:55:09,0.001s,PASSED
"password_object = ""Object Repository/Day-02/Cogmento/createContact/input_Login_password""",Firefox 113.0,,,2023-06-08 14:55:09,2023-06-08 14:55:09,0.001s,PASSED
"loginBtn_object = ""Object Repository/Day-02/Cogmento/createContact/div_Login""",Firefox 113.0,,,2023-06-08 14:55:09,2023-06-08 14:55:09,0.001s,PASSED
"com.LoginCogmento.Login(username_object, password_object, loginBtn_object, username, password)",Firefox 113.0,,,2023-06-08 14:55:09,2023-06-08 14:55:11,2.226s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/i_Calendar_users icon""))",Firefox 113.0,,,2023-06-08 14:55:11,2023-06-08 14:55:15,3.857s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/button_Create""))",Firefox 113.0,,,2023-06-08 14:55:15,2023-06-08 14:55:16,1.261s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_First Name_first_name""), firstName)",Firefox 113.0,,,2023-06-08 14:55:16,2023-06-08 14:55:18,1.163s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Last Name_last_name""), lastName)",Firefox 113.0,,,2023-06-08 14:55:18,2023-06-08 14:55:19,0.865s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Company_search""), company)",Firefox 113.0,,,2023-06-08 14:55:19,2023-06-08 14:55:21,2.917s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Email_value""), mailId)",Firefox 113.0,,,2023-06-08 14:55:21,2023-06-08 14:55:23,1.422s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_SelectLeadCustomerContactAffiliate""))",Firefox 113.0,,,2023-06-08 14:55:23,2023-06-08 14:55:24,0.676s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_Customer""))",Firefox 113.0,,,2023-06-08 14:55:24,2023-06-08 14:55:24,0.575s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_SelectNewActiveInactiveOn HoldTerminatedHot""))",Firefox 113.0,,,2023-06-08 14:55:24,2023-06-08 14:55:25,0.495s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_New""))",Firefox 113.0,,,2023-06-08 14:55:25,2023-06-08 14:55:25,0.534s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/textarea_deep""), firstName + "" "" + lastName)",Firefox 113.0,,,2023-06-08 14:55:25,2023-06-08 14:55:26,0.698s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/label_Do not Text""))",Firefox 113.0,,,2023-06-08 14:55:26,2023-06-08 14:55:27,0.741s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Birthday_day""), ""22"")",Firefox 113.0,,,2023-06-08 14:55:27,2023-06-08 14:55:27,0.550s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_December_year""), ""2002"")",Firefox 113.0,,,2023-06-08 14:55:27,2023-06-08 14:55:28,0.684s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_Month JanuaryFebruaryMarchAprilMayJuneJ_b508fe""))",Firefox 113.0,,,2023-06-08 14:55:28,2023-06-08 14:55:28,0.461s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/span_December""))",Firefox 113.0,,,2023-06-08 14:55:28,2023-06-08 14:55:29,0.507s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Image_image""), ""/home/deep/Pictures/Wallpapers/Simform_Wallpaper4.png"")",Firefox 113.0,,,2023-06-08 14:55:29,2023-06-08 14:55:29,0.548s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Identifier_identifier""))",Firefox 113.0,,,2023-06-08 14:55:29,2023-06-08 14:55:30,0.483s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/button_Save""))",Firefox 113.0,,,2023-06-08 14:55:30,2023-06-08 14:55:30,0.603s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/i_Home_home icon""))",Firefox 113.0,,,2023-06-08 14:55:30,2023-06-08 14:55:32,1.176s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/a_Deep Patel""))",Firefox 113.0,,,2023-06-08 14:55:32,2023-06-08 14:55:33,1.786s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_Record meta data""))",Firefox 113.0,,,2023-06-08 14:55:33,2023-06-08 14:55:35,1.801s,PASSED
"verifyTextPresent(firstName + "" "" + lastName, false)",Firefox 113.0,,,2023-06-08 14:55:35,2023-06-08 14:55:36,0.653s,PASSED
"verifyTextPresent(company, false)",Firefox 113.0,,,2023-06-08 14:55:36,2023-06-08 14:55:36,0.584s,PASSED
"verifyTextPresent(mailId, false)",Firefox 113.0,,,2023-06-08 14:55:36,2023-06-08 14:55:37,0.596s,PASSED
"verifyTextPresent(firstName + "" "" + lastName, false)",Firefox 113.0,,,2023-06-08 14:55:37,2023-06-08 14:55:38,0.607s,PASSED
"verifyTextPresent(firstName + "" "" + lastName, false)",Firefox 113.0,,,2023-06-08 14:55:38,2023-06-08 14:55:38,0.562s,PASSED
Start listener action : assertmessage,Firefox 113.0,,,2023-06-08 14:55:38,2023-06-08 14:55:38,0.002s,PASSED
,,,,,,,
Test Cases/Day-02/Cogmento/updateContact,Firefox 113.0,,,2023-06-08 14:55:38,2023-06-08 14:56:01,23.269s,PASSED
Start listener action : maximize,Firefox 113.0,,,2023-06-08 14:55:38,2023-06-08 14:55:38,0.010s,PASSED
"navigateToUrl(""https://ui.cogmento.com/"")",Firefox 113.0,,,2023-06-08 14:55:38,2023-06-08 14:55:40,1.858s,PASSED
"username_object = ""Object Repository/Day-02/Cogmento/createContact/input_Login_email""",Firefox 113.0,,,2023-06-08 14:55:40,2023-06-08 14:55:40,0.000s,PASSED
"password_object = ""Object Repository/Day-02/Cogmento/createContact/input_Login_password""",Firefox 113.0,,,2023-06-08 14:55:40,2023-06-08 14:55:40,0.001s,PASSED
"loginBtn_object = ""Object Repository/Day-02/Cogmento/createContact/div_Login""",Firefox 113.0,,,2023-06-08 14:55:40,2023-06-08 14:55:40,0.000s,PASSED
"com.LoginCogmento.Login(username_object, password_object, loginBtn_object, username, password)",Firefox 113.0,,,2023-06-08 14:55:40,2023-06-08 14:55:49,8.275s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/updateContact/a_Deep Patel""))",Firefox 113.0,,,2023-06-08 14:55:49,2023-06-08 14:55:50,1.751s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/updateContact/button_Deep Patel_ui icon button""))",Firefox 113.0,,,2023-06-08 14:55:50,2023-06-08 14:55:52,1.267s,PASSED
"clearText(findTestObject(""Object Repository/Day-02/Cogmento/updateContact/input_Middle Name(s)_middle_name""))",Firefox 113.0,,,2023-06-08 14:55:52,2023-06-08 14:55:52,0.656s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/updateContact/input_Middle Name(s)_middle_name""), middleName)",Firefox 113.0,,,2023-06-08 14:55:52,2023-06-08 14:55:53,0.833s,PASSED
