Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
createDeleteContact,Firefox 113.0,,,2023-06-08 09:57:15,2023-06-08 09:58:16,1m - 0.690s,PASSED
,,,,,,,
Test Cases/Day-02/Cogmento/CreateContact,Firefox 113.0,,,2023-06-08 09:57:25,2023-06-08 09:57:59,34.919s,PASSED
Start listener action : maximize,Firefox 113.0,,,2023-06-08 09:57:25,2023-06-08 09:57:25,0.357s,PASSED
navigateToUrl(URL),Firefox 113.0,,,2023-06-08 09:57:26,2023-06-08 09:57:31,4.761s,PASSED
"username_object = ""Object Repository/Day-02/Cogmento/createContact/input_Login_email""",Firefox 113.0,,,2023-06-08 09:57:31,2023-06-08 09:57:31,0.005s,PASSED
"password_object = ""Object Repository/Day-02/Cogmento/createContact/input_Login_password""",Firefox 113.0,,,2023-06-08 09:57:31,2023-06-08 09:57:31,0.004s,PASSED
"loginBtn_object = ""Object Repository/Day-02/Cogmento/createContact/div_Login""",Firefox 113.0,,,2023-06-08 09:57:31,2023-06-08 09:57:31,0.004s,PASSED
"com.LoginCogmento.Login(username_object, password_object, loginBtn_object, username, password)",Firefox 113.0,,,2023-06-08 09:57:31,2023-06-08 09:57:33,2.592s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/i_Calendar_users icon""))",Firefox 113.0,,,2023-06-08 09:57:33,2023-06-08 09:57:38,4.265s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/button_Create""))",Firefox 113.0,,,2023-06-08 09:57:38,2023-06-08 09:57:39,1.099s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_First Name_first_name""), firstName)",Firefox 113.0,,,2023-06-08 09:57:39,2023-06-08 09:57:40,1.139s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Last Name_last_name""), lastName)",Firefox 113.0,,,2023-06-08 09:57:40,2023-06-08 09:57:41,0.887s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Company_search""), company)",Firefox 113.0,,,2023-06-08 09:57:41,2023-06-08 09:57:43,2.727s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Email_value""), mailId)",Firefox 113.0,,,2023-06-08 09:57:43,2023-06-08 09:57:45,1.526s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_SelectLeadCustomerContactAffiliate""))",Firefox 113.0,,,2023-06-08 09:57:45,2023-06-08 09:57:46,0.593s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_Customer""))",Firefox 113.0,,,2023-06-08 09:57:46,2023-06-08 09:57:46,0.544s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_SelectNewActiveInactiveOn HoldTerminatedHot""))",Firefox 113.0,,,2023-06-08 09:57:46,2023-06-08 09:57:47,0.481s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_New""))",Firefox 113.0,,,2023-06-08 09:57:47,2023-06-08 09:57:47,0.504s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/textarea_deep""), firstName + "" "" + lastName)",Firefox 113.0,,,2023-06-08 09:57:47,2023-06-08 09:57:48,0.952s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/label_Do not Text""))",Firefox 113.0,,,2023-06-08 09:57:48,2023-06-08 09:57:49,0.697s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Birthday_day""), ""22"")",Firefox 113.0,,,2023-06-08 09:57:49,2023-06-08 09:57:49,0.671s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_December_year""), ""2002"")",Firefox 113.0,,,2023-06-08 09:57:49,2023-06-08 09:57:50,0.775s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_Month JanuaryFebruaryMarchAprilMayJuneJ_b508fe""))",Firefox 113.0,,,2023-06-08 09:57:50,2023-06-08 09:57:51,0.556s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/span_December""))",Firefox 113.0,,,2023-06-08 09:57:51,2023-06-08 09:57:51,0.558s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Image_image""), ""/home/deep/Pictures/Wallpapers/Simform_Wallpaper4.png"")",Firefox 113.0,,,2023-06-08 09:57:51,2023-06-08 09:57:52,0.516s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Identifier_identifier""))",Firefox 113.0,,,2023-06-08 09:57:52,2023-06-08 09:57:52,0.479s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/button_Save""))",Firefox 113.0,,,2023-06-08 09:57:52,2023-06-08 09:57:53,0.598s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/i_Home_home icon""))",Firefox 113.0,,,2023-06-08 09:57:53,2023-06-08 09:57:55,2.007s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/a_Deep Patel""))",Firefox 113.0,,,2023-06-08 09:57:55,2023-06-08 09:57:58,2.753s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_Record meta data""))",Firefox 113.0,,,2023-06-08 09:57:58,2023-06-08 09:57:59,1.781s,PASSED
Start listener action : assertmessage,Firefox 113.0,,,2023-06-08 09:57:59,2023-06-08 09:57:59,0.008s,PASSED
,,,,,,,
Test Cases/Day-02/Cogmento/deleteContact,Firefox 113.0,,,2023-06-08 09:58:00,2023-06-08 09:58:16,16.494s,PASSED
Start listener action : maximize,Firefox 113.0,,,2023-06-08 09:58:00,2023-06-08 09:58:00,0.019s,PASSED
"navigateToUrl(""https://ui.cogmento.com/"")",Firefox 113.0,,,2023-06-08 09:58:00,2023-06-08 09:58:03,2.608s,PASSED
"username_object = ""Object Repository/Day-02/Cogmento/createContact/input_Login_email""",Firefox 113.0,,,2023-06-08 09:58:03,2023-06-08 09:58:03,0.003s,PASSED
"password_object = ""Object Repository/Day-02/Cogmento/createContact/input_Login_password""",Firefox 113.0,,,2023-06-08 09:58:03,2023-06-08 09:58:03,0.004s,PASSED
"loginBtn_object = ""Object Repository/Day-02/Cogmento/createContact/div_Login""",Firefox 113.0,,,2023-06-08 09:58:03,2023-06-08 09:58:03,0.005s,PASSED
"com.LoginCogmento.Login(username_object, password_object, loginBtn_object, username, password)",Firefox 113.0,,,2023-06-08 09:58:03,2023-06-08 09:58:13,10.025s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/deleteContact/i_Calendar_users icon""))",Firefox 113.0,,,2023-06-08 09:58:13,2023-06-08 09:58:13,0.935s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/deleteContact/i_deepgmail.com_trash icon""))",Firefox 113.0,,,2023-06-08 09:58:13,2023-06-08 09:58:14,0.483s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/deleteContact/button_Delete""))",Firefox 113.0,,,2023-06-08 09:58:14,2023-06-08 09:58:15,0.632s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/deleteContact/td""))",Firefox 113.0,,,2023-06-08 09:58:15,2023-06-08 09:58:16,1.398s,PASSED
Start listener action : assertmessage,Firefox 113.0,,,2023-06-08 09:58:16,2023-06-08 09:58:16,0.000s,PASSED
