Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
createDeleteContact,Firefox 113.0,,,2023-06-07 16:09:49,2023-06-07 16:12:22,2m - 33.503s,PASSED
,,,,,,,
Test Cases/Day-02/Cogmento/CreateContact,Firefox 113.0,,,2023-06-07 16:10:13,2023-06-07 16:11:31,1m - 18.822s,PASSED
Start listener action : login,Firefox 113.0,,,2023-06-07 16:10:14,2023-06-07 16:10:14,0.464s,PASSED
"openBrowser("""")",Firefox 113.0,,,2023-06-07 16:10:16,2023-06-07 16:10:27,10.759s,PASSED
navigateToUrl(URL),Firefox 113.0,,,2023-06-07 16:10:27,2023-06-07 16:10:34,6.974s,PASSED
"com.LoginCogmento.Login(username, password)",Firefox 113.0,,,2023-06-07 16:10:34,2023-06-07 16:10:37,3.464s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/i_Calendar_users icon""))",Firefox 113.0,,,2023-06-07 16:10:37,2023-06-07 16:10:42,5.199s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/button_Create""))",Firefox 113.0,,,2023-06-07 16:10:42,2023-06-07 16:10:44,2.234s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_First Name_first_name""), firstName)",Firefox 113.0,,,2023-06-07 16:10:44,2023-06-07 16:10:47,2.309s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Last Name_last_name""), lastName)",Firefox 113.0,,,2023-06-07 16:10:47,2023-06-07 16:10:48,1.221s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Company_search""), company)",Firefox 113.0,,,2023-06-07 16:10:48,2023-06-07 16:10:53,4.705s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Email_value""), mailId)",Firefox 113.0,,,2023-06-07 16:10:53,2023-06-07 16:10:56,3.785s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_SelectLeadCustomerContactAffiliate""))",Firefox 113.0,,,2023-06-07 16:10:56,2023-06-07 16:10:57,0.931s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_Customer""))",Firefox 113.0,,,2023-06-07 16:10:57,2023-06-07 16:11:00,2.362s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_SelectNewActiveInactiveOn HoldTerminatedHot""))",Firefox 113.0,,,2023-06-07 16:11:00,2023-06-07 16:11:01,1.175s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_New""))",Firefox 113.0,,,2023-06-07 16:11:01,2023-06-07 16:11:03,2.130s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/textarea_deep""), firstName + "" "" + lastName)",Firefox 113.0,,,2023-06-07 16:11:03,2023-06-07 16:11:07,4.085s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/label_Do not Text""))",Firefox 113.0,,,2023-06-07 16:11:07,2023-06-07 16:11:09,1.550s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Birthday_day""), ""22"")",Firefox 113.0,,,2023-06-07 16:11:09,2023-06-07 16:11:11,1.946s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_December_year""), ""2002"")",Firefox 113.0,,,2023-06-07 16:11:11,2023-06-07 16:11:12,1.691s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_Month JanuaryFebruaryMarchAprilMayJuneJ_b508fe""))",Firefox 113.0,,,2023-06-07 16:11:12,2023-06-07 16:11:14,1.522s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/span_December""))",Firefox 113.0,,,2023-06-07 16:11:14,2023-06-07 16:11:16,2.374s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Image_image""), ""/home/deep/Pictures/Wallpapers/Simform_Wallpaper4.png"")",Firefox 113.0,,,2023-06-07 16:11:16,2023-06-07 16:11:18,2.210s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Identifier_identifier""))",Firefox 113.0,,,2023-06-07 16:11:18,2023-06-07 16:11:20,1.318s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/button_Save""))",Firefox 113.0,,,2023-06-07 16:11:20,2023-06-07 16:11:22,2.435s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/i_Home_home icon""))",Firefox 113.0,,,2023-06-07 16:11:22,2023-06-07 16:11:25,3.055s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/a_Deep Patel""))",Firefox 113.0,,,2023-06-07 16:11:25,2023-06-07 16:11:28,2.692s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_Record meta data""))",Firefox 113.0,,,2023-06-07 16:11:28,2023-06-07 16:11:30,2.179s,PASSED
closeBrowser(),Firefox 113.0,,,2023-06-07 16:11:30,2023-06-07 16:11:31,1.184s,PASSED
Start listener action : logout,Firefox 113.0,,,2023-06-07 16:11:31,2023-06-07 16:11:31,0.032s,PASSED
,,,,,,,
Test Cases/Day-02/Cogmento/deleteContact,Firefox 113.0,,,2023-06-07 16:11:31,2023-06-07 16:12:22,50.708s,PASSED
Start listener action : login,Firefox 113.0,,,2023-06-07 16:11:31,2023-06-07 16:11:32,0.132s,ERROR
"openBrowser("""")",Firefox 113.0,,,2023-06-07 16:11:32,2023-06-07 16:11:40,7.814s,PASSED
"navigateToUrl(""https://ui.cogmento.com/"")",Firefox 113.0,,,2023-06-07 16:11:40,2023-06-07 16:11:46,5.689s,PASSED
"com.LoginCogmento.Login(username, password)",Firefox 113.0,,,2023-06-07 16:11:46,2023-06-07 16:11:48,2.647s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/deleteContact/i_Calendar_users icon""))",Firefox 113.0,,,2023-06-07 16:11:48,2023-06-07 16:12:14,26.030s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/deleteContact/i_deepgmail.com_trash icon""))",Firefox 113.0,,,2023-06-07 16:12:14,2023-06-07 16:12:16,1.816s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/deleteContact/button_Delete""))",Firefox 113.0,,,2023-06-07 16:12:16,2023-06-07 16:12:17,1.008s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/deleteContact/td""))",Firefox 113.0,,,2023-06-07 16:12:17,2023-06-07 16:12:19,2.162s,PASSED
closeBrowser(),Firefox 113.0,,,2023-06-07 16:12:19,2023-06-07 16:12:22,2.675s,PASSED
Start listener action : logout,Firefox 113.0,,,2023-06-07 16:12:22,2023-06-07 16:12:22,0.001s,PASSED
