Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
createUpdateDeleteContact,Firefox 113.0,,,2023-06-08 09:46:52,2023-06-08 09:48:20,1m - 28.635s,PASSED
,,,,,,,
Test Cases/Day-02/Cogmento/CreateContact,Firefox 113.0,,,2023-06-08 09:47:00,2023-06-08 09:47:38,37.581s,PASSED
Start listener action : login,Firefox 113.0,,,2023-06-08 09:47:01,2023-06-08 09:47:01,0.309s,PASSED
"openBrowser("""")",Firefox 113.0,,,2023-06-08 09:47:01,2023-06-08 09:47:05,3.768s,PASSED
navigateToUrl(URL),Firefox 113.0,,,2023-06-08 09:47:05,2023-06-08 09:47:09,4.142s,PASSED
"username_object = ""Object Repository/Day-02/Cogmento/createContact/input_Login_email""",Firefox 113.0,,,2023-06-08 09:47:09,2023-06-08 09:47:09,0.001s,PASSED
"password_object = ""Object Repository/Day-02/Cogmento/createContact/input_Login_password""",Firefox 113.0,,,2023-06-08 09:47:09,2023-06-08 09:47:09,0.001s,PASSED
"loginBtn_object = ""Object Repository/Day-02/Cogmento/createContact/div_Login""",Firefox 113.0,,,2023-06-08 09:47:09,2023-06-08 09:47:09,0.007s,PASSED
"com.LoginCogmento.Login(username_object, password_object, loginBtn_object, username, password)",Firefox 113.0,,,2023-06-08 09:47:09,2023-06-08 09:47:12,2.200s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/i_Calendar_users icon""))",Firefox 113.0,,,2023-06-08 09:47:12,2023-06-08 09:47:15,3.725s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/button_Create""))",Firefox 113.0,,,2023-06-08 09:47:15,2023-06-08 09:47:17,1.254s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_First Name_first_name""), firstName)",Firefox 113.0,,,2023-06-08 09:47:17,2023-06-08 09:47:18,1.151s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Last Name_last_name""), lastName)",Firefox 113.0,,,2023-06-08 09:47:18,2023-06-08 09:47:19,0.941s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Company_search""), company)",Firefox 113.0,,,2023-06-08 09:47:19,2023-06-08 09:47:21,2.717s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Email_value""), mailId)",Firefox 113.0,,,2023-06-08 09:47:21,2023-06-08 09:47:23,1.525s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_SelectLeadCustomerContactAffiliate""))",Firefox 113.0,,,2023-06-08 09:47:23,2023-06-08 09:47:24,0.674s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_Customer""))",Firefox 113.0,,,2023-06-08 09:47:24,2023-06-08 09:47:24,0.649s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_SelectNewActiveInactiveOn HoldTerminatedHot""))",Firefox 113.0,,,2023-06-08 09:47:24,2023-06-08 09:47:25,0.468s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_New""))",Firefox 113.0,,,2023-06-08 09:47:25,2023-06-08 09:47:25,0.570s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/textarea_deep""), firstName + "" "" + lastName)",Firefox 113.0,,,2023-06-08 09:47:25,2023-06-08 09:47:26,0.675s,PASSED
