Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
createDeleteContact,Firefox 113.0,,,2023-06-08 17:13:48,2023-06-08 17:15:32,1m - 43.672s,PASSED
,,,,,,,
Test Cases/Day-02/Cogmento/CreateContact,Firefox 113.0,,,2023-06-08 17:14:11,2023-06-08 17:15:13,1m - 2.279s,PASSED
Start listener action : maximize,Firefox 113.0,,,2023-06-08 17:14:11,2023-06-08 17:14:12,0.556s,PASSED
navigateToUrl(URL),Firefox 113.0,,,2023-06-08 17:14:12,2023-06-08 17:14:20,7.257s,PASSED
"username_object = ""Object Repository/Day-02/Cogmento/createContact/input_Login_email""",Firefox 113.0,,,2023-06-08 17:14:20,2023-06-08 17:14:20,0.002s,PASSED
"password_object = ""Object Repository/Day-02/Cogmento/createContact/input_Login_password""",Firefox 113.0,,,2023-06-08 17:14:20,2023-06-08 17:14:20,0.002s,PASSED
"loginBtn_object = ""Object Repository/Day-02/Cogmento/createContact/div_Login""",Firefox 113.0,,,2023-06-08 17:14:20,2023-06-08 17:14:20,0.001s,PASSED
"com.LoginCogmento.Login(username_object, password_object, loginBtn_object, username, password)",Firefox 113.0,,,2023-06-08 17:14:20,2023-06-08 17:14:23,3.543s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/i_Calendar_users icon""))",Firefox 113.0,,,2023-06-08 17:14:23,2023-06-08 17:14:29,5.615s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/button_Create""))",Firefox 113.0,,,2023-06-08 17:14:29,2023-06-08 17:14:32,2.697s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_First Name_first_name""), firstName)",Firefox 113.0,,,2023-06-08 17:14:32,2023-06-08 17:14:34,1.997s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Last Name_last_name""), lastName)",Firefox 113.0,,,2023-06-08 17:14:34,2023-06-08 17:14:36,1.985s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Company_search""), company)",Firefox 113.0,,,2023-06-08 17:14:36,2023-06-08 17:14:39,3.861s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Email_value""), mailId)",Firefox 113.0,,,2023-06-08 17:14:39,2023-06-08 17:14:42,2.418s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_SelectLeadCustomerContactAffiliate""))",Firefox 113.0,,,2023-06-08 17:14:42,2023-06-08 17:14:43,0.717s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_Customer""))",Firefox 113.0,,,2023-06-08 17:14:43,2023-06-08 17:14:44,1.259s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_SelectNewActiveInactiveOn HoldTerminatedHot""))",Firefox 113.0,,,2023-06-08 17:14:44,2023-06-08 17:14:45,0.854s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_New""))",Firefox 113.0,,,2023-06-08 17:14:45,2023-06-08 17:14:46,0.843s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/textarea_deep""), firstName + "" "" + lastName)",Firefox 113.0,,,2023-06-08 17:14:46,2023-06-08 17:14:47,1.553s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/label_Do not Text""))",Firefox 113.0,,,2023-06-08 17:14:47,2023-06-08 17:14:49,1.754s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Birthday_day""), ""22"")",Firefox 113.0,,,2023-06-08 17:14:49,2023-06-08 17:14:51,1.834s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_December_year""), ""2002"")",Firefox 113.0,,,2023-06-08 17:14:51,2023-06-08 17:14:52,1.359s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_Month JanuaryFebruaryMarchAprilMayJuneJ_b508fe""))",Firefox 113.0,,,2023-06-08 17:14:52,2023-06-08 17:14:53,0.913s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/span_December""))",Firefox 113.0,,,2023-06-08 17:14:53,2023-06-08 17:14:54,1.139s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Image_image""), ""/home/deep/Pictures/Wallpapers/Simform_Wallpaper4.png"")",Firefox 113.0,,,2023-06-08 17:14:54,2023-06-08 17:14:55,1.066s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Identifier_identifier""))",Firefox 113.0,,,2023-06-08 17:14:55,2023-06-08 17:14:56,0.724s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/button_Save""))",Firefox 113.0,,,2023-06-08 17:14:56,2023-06-08 17:14:57,0.999s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/i_Home_home icon""))",Firefox 113.0,,,2023-06-08 17:14:57,2023-06-08 17:15:02,5.248s,PASSED
"mouseOver(findTestObject(""Day-04/Create Contact with CSV/i_Free account_settings icon""))",Firefox 113.0,,,2023-06-08 17:15:02,2023-06-08 17:15:04,2.079s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/a_Deep Patel""))",Firefox 113.0,,,2023-06-08 17:15:04,2023-06-08 17:15:06,1.541s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_Record meta data""))",Firefox 113.0,,,2023-06-08 17:15:06,2023-06-08 17:15:08,1.946s,PASSED
"verifyTextPresent(firstName + "" "" + lastName, false)",Firefox 113.0,,,2023-06-08 17:15:08,2023-06-08 17:15:09,1.074s,PASSED
"verifyTextPresent(company, false)",Firefox 113.0,,,2023-06-08 17:15:09,2023-06-08 17:15:10,0.980s,PASSED
"verifyTextPresent(mailId, false)",Firefox 113.0,,,2023-06-08 17:15:10,2023-06-08 17:15:11,1.226s,PASSED
"verifyTextPresent(firstName + "" "" + lastName, false)",Firefox 113.0,,,2023-06-08 17:15:11,2023-06-08 17:15:12,1.060s,PASSED
"verifyTextPresent(firstName + "" "" + lastName, false)",Firefox 113.0,,,2023-06-08 17:15:12,2023-06-08 17:15:13,0.917s,PASSED
Start listener action : assertmessage,Firefox 113.0,,,2023-06-08 17:15:13,2023-06-08 17:15:13,0.006s,PASSED
,,,,,,,
Test Cases/Day-02/Cogmento/deleteContact,Firefox 113.0,,,2023-06-08 17:15:13,2023-06-08 17:15:32,18.960s,PASSED
Start listener action : maximize,Firefox 113.0,,,2023-06-08 17:15:13,2023-06-08 17:15:13,0.032s,PASSED
"navigateToUrl(""https://ui.cogmento.com/"")",Firefox 113.0,,,2023-06-08 17:15:14,2023-06-08 17:15:18,3.878s,PASSED
"username_object = ""Object Repository/Day-02/Cogmento/createContact/input_Login_email""",Firefox 113.0,,,2023-06-08 17:15:18,2023-06-08 17:15:18,0.025s,PASSED
"password_object = ""Object Repository/Day-02/Cogmento/createContact/input_Login_password""",Firefox 113.0,,,2023-06-08 17:15:18,2023-06-08 17:15:18,0.015s,PASSED
"loginBtn_object = ""Object Repository/Day-02/Cogmento/createContact/div_Login""",Firefox 113.0,,,2023-06-08 17:15:18,2023-06-08 17:15:18,0.006s,PASSED
"com.LoginCogmento.Login(username_object, password_object, loginBtn_object, username, password)",Firefox 113.0,,,2023-06-08 17:15:18,2023-06-08 17:15:29,11.048s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/deleteContact/i_Calendar_users icon""))",Firefox 113.0,,,2023-06-08 17:15:29,2023-06-08 17:15:30,1.358s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/deleteContact/i_deepgmail.com_trash icon""))",Firefox 113.0,,,2023-06-08 17:15:30,2023-06-08 17:15:31,1.081s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/deleteContact/button_Delete""))",Firefox 113.0,,,2023-06-08 17:15:31,2023-06-08 17:15:32,0.820s,PASSED
Start listener action : assertmessage,Firefox 113.0,,,2023-06-08 17:15:32,2023-06-08 17:15:32,0.011s,PASSED
